n_packs, n_bins, cost, real_running_time
600,600,565,18.65
700,700,554,16.8
100,100,105,9.32
200,200,201,13.39
900,900,863,18.6
10,10,14,3.33
5,5,8,2.34
1000,1000,773,17.91
500,500,532,17.94
800,800,782,17.03
5,5,8,2.36
7,3,300,3.38
10,10,51,3.74
11,11,79,3.03
12,12,54,2.94
13,13,145,4.21
14,14,55,4.09
15,15,106,5.23
16,16,130,5.99
17,17,105,6.3
18,18,121,6
19,19,129,6.66
20,20,188,6.84
21,21,120,6.64
22,22,171,7.76
23,23,147,8.55
24,24,181,8.13
25,25,237,8.88
26,26,161,8.12
27,27,180,8.31
28,28,158,8.57
29,29,186,9.9
30,30,182,9.54
31,31,215,9.87
32,32,187,9.19
33,33,178,10.38
34,34,182,11.09
35,35,237,11.25
36,36,345,12.95
37,37,163,12.26
38,38,260,12.95
39,39,229,12.62
40,40,236,12.57
41,41,251,14.04
42,42,412,10.56
43,43,243,14.71
44,44,356,14.73
45,45,239,13.85
46,46,301,15.64
47,47,284,17.3
48,48,287,15.92
49,49,275,38
50,50,314,46.06
51,51,291,59.53
52,52,358,29.02
53,53,404,14.15
54,54,278,17.28
90,90,591,14.07
120,120,701,15.22
150,150,770,17.35
180,180,965,18.71
210,210,1098,17.85
240,240,1161,22.3
270,270,1243,23.38
300,300,1817,19.34
330,330,1942,16.79
360,360,2052,17.75
550,550,2841,22.04
600,600,3633,19.67
650,650,3775,19.02
700,700,3835,19.82
750,750,4017,23.22
800,800,4489,23.21
850,850,4503,20.62
900,900,4625,27.85
950,950,5308,29.55
10000,10000,53952,82.32
1000,1000,5579,25.33
2000,2000,11217,27.83
3000,3000,16019,40.6
4000,4000,21701,41.72
5000,5000,27568,50.36
6000,6000,32746,55.1
7000,7000,38368,64.27
8000,8000,43364,66.43
9000,9000,49632,88.22
